类别	问 句
定义类	简 述 中 继 器 的 定 义 。
定义类	简 述 注 册 的 插 座 的 定 义 。
定义类	简 述 R J - 1 1 的 定 义 。
定义类	简 述 R J - 4 5 的 定 义 。
定义类	简 述 卫 星 微 波 的 定 义 。
定义类	简 述 散 射 红 外 线 网 络 的 定 义 。
定义类	简 述 外 壳 的 定 义 。
定义类	简 述 屏 蔽 双 绞 线 的 定 义 。
定义类	简 述 屏 蔽 的 定 义 。
定义类	简 述 单 频 无 线 电 的 定 义 。
定义类	简 述 扩 频 无 线 电 的 定 义 。
定义类	简 述 直 接 连 接 的 定 义 。
定义类	简 述 直 接 端 点 的 定 义 。
定义类	简 述 微 型 类 型 A 的 定 义 。
定义类	简 述 电 信 工 业 协 会 的 定 义 。
定义类	简 述 陆 地 微 波 的 定 义 。
定义类	简 述 粗 以 太 网 的 定 义 。
定义类	简 述 细 以 太 网 的 定 义 。
定义类	简 述 收 发 信 机 的 定 义 。
定义类	简 述 发 射 机 的 定 义 。
定义类	简 述 双 绞 线 的 定 义 。
定义类	简 述 非 屏 蔽 双 绞 线 的 定 义 。
定义类	简 述 虚 拟 对 接 的 定 义 。
定义类	简 述 语 音 级 的 定 义 。
定义类	简 述 墙 板 插 座 的 定 义 。
定义类	简 述 W i - F i 的 定 义 。
定义类	简 述 W i M a x 的 定 义 。
定义类	简 述 无 线 的 定 义 。
定义类	简 述 无 线 网 桥 的 定 义 。
定义类	简 述 配 线 中 心 的 定 义 。
定义类	简 述 适 配 器 槽 的 定 义 。
定义类	简 述 加 速 图 形 端 口 的 定 义 。
定义类	简 述 基 本 I / O 端 口 的 定 义 。
定义类	简 述 存 储 器 基 地 址 的 定 义 。
定义类	简 述 启 动 P R O M 的 定 义 。
定义类	简 述 启 动 的 定 义 。
定义类	简 述 缓 存 器 的 定 义 。
定义类	简 述 总 线 的 定 义 。
定义类	简 述 总 线 主 控 的 定 义 。
定义类	简 述 总 线 宽 度 的 定 义 。
定义类	简 述 设 备 驱 动 程 序 的 定 义 。
定义类	简 述 诊 断 软 件 的 定 义 。
定义类	简 述 直 接 存 储 器 访 问 的 定 义 。
定义类	简 述 无 盘 工 作 站 的 定 义 。
定义类	简 述 驱 动 程 序 的 定 义 。
定义类	简 述 扩 展 的 工 业 标 准 体 系 结 构 的 定 义 。
定义类	简 述 容 错 的 定 义 。
定义类	简 述 F i r e W i r e 的 定 义 。
定义类	简 述 帧 的 定 义 。
定义类	简 述 硬 件 兼 容 列 表 的 定 义 。
定义类	简 述 十 六 进 制 的 定 义 。
定义类	简 述 工 业 标 准 体 系 结 构 的 定 义 。
定义类	简 述 中 断 请 求 线 的 定 义 。
定义类	简 述 I P S e c 的 定 义 。
定义类	简 述 知 识 库 的 定 义 。
定义类	简 述 介 质 接 入 控 制 的 定 义 。
定义类	简 述 M A C 地 址 的 定 义 。
定义类	简 述 微 信 道 体 系 结 构 的 定 义 。
定义类	简 述 网 络 适 配 器 的 定 义 。
定义类	简 述 网 络 设 备 接 口 规 范 的 定 义 。
定义类	简 述 网 络 接 口 卡 的 定 义 。
定义类	简 述 板 上 协 处 理 器 的 定 义 。
定义类	简 述 开 放 数 据 链 路 接 口 的 定 义 。
定义类	简 述 分 组 的 定 义 。
定义类	简 述 并 行 传 输 的 定 义 。
定义类	简 述 P C 卡 的 定 义 。
定义类	简 述 P C I   E x p r e s s 的 定 义 。
定义类	简 述 外 围 组 件 接 口 的 定 义 。
定义类	简 述 即 插 即 用 的 定 义 。
定义类	简 述 带 电 自 检 的 定 义 。
定义类	简 述 服 务 质 量 的 定 义 。
定义类	简 述 R A M 缓 冲 的 定 义 。
定义类	简 述 安 全 特 性 的 定 义 。
定义类	简 述 串 行 传 输 的 定 义 。
定义类	简 述 共 享 的 适 配 器 存 储 器 的 定 义 。
定义类	简 述 共 享 的 系 统 存 储 器 的 定 义 。
定义类	简 述 业 务 管 理 的 定 义 。
定义类	简 述 收 发 信 机 的 定 义 。
定义类	简 述 通 用 串 行 总 线 的 定 义 。
定义类	简 述 W i n 3 2 驱 动 程 序 模 型 的 定 义 。
定义类	简 述 8 0 2 . 1 的 定 义 。
定义类	简 述 8 0 2 . 2 的 定 义 。
定义类	简 述 8 0 2 . 3 的 定 义 。
定义类	简 述 8 0 2 . 4 的 定 义 。
定义类	简 述 8 0 2 . 5 的 定 义 。
定义类	简 述 8 0 2 . 6 的 定 义 。
定义类	简 述 8 0 2 . 7 的 定 义 。
定义类	简 述 8 0 2 . 8 的 定 义 。
定义类	简 述 8 0 2 . 9 的 定 义 。
定义类	简 述 8 0 2 . 1 0 的 定 义 。
定义类	简 述 8 0 2 . 1 1 的 定 义 。
定义类	简 述 8 0 2 . 1 2 的 定 义 。
定义类	简 述 8 0 2 . 1 4 的 定 义 。
定义类	简 述 8 0 2 . 1 5 的 定 义 。
定义类	简 述 8 0 2 . 1 6 的 定 义 。
定义类	简 述 8 0 2 . 1 7 的 定 义 。
定义类	简 述 8 0 2 . 1 8 的 定 义 。
定义类	简 述 8 0 2 . 1 9 的 定 义 。
定义类	简 述 8 0 2 . 2 0 的 定 义 。
定义类	简 述 A p p l e T a l k 的 定 义 。
定义类	简 述 应 用 层 的 定 义 。
定义类	简 述 拥 塞 控 制 的 定 义 。
定义类	简 述 循 环 冗 余 控 制 的 定 义 。
定义类	简 述 数 据 帧 的 定 义 。
定义类	简 述 数 据 链 路 层 的 定 义 。
定义类	简 述 解 封 装 的 定 义 。
定义类	简 述 编 码 的 定 义 。
定义类	简 述 封 装 的 定 义 。
定义类	简 述 流 控 制 的 定 义 。
定义类	简 述 分 段 的 定 义 。
定义类	简 述 帧 的 定 义 。
定义类	简 述 报 头 的 定 义 。
定义类	简 述 国 际 标 准 化 组 织 的 定 义 。
定义类	简 述 互 联 网 络 分 组 交 换 / 顺 序 分 组 交 换 的 定 义 。
定义类	简 述 层 的 定 义 。
定义类	简 述 逻 辑 链 路 控 制 的 定 义 。
定义类	简 述 介 质 接 入 控 制 的 定 义 。
定义类	简 述 N e t B I O S 增 强 用 户 接 口 的 定 义 。
定义类	简 述 网 络 层 的 定 义 。
定义类	简 述 开 放 系 统 互 连 的 定 义 。
定义类	简 述 O S I 参 考 模 型 的 定 义 。
定义类	简 述 分 组 的 定 义 。
定义类	简 述 分 组 数 据 单 元 的 定 义 。
定义类	简 述 分 组 交 换 的 定 义 。
定义类	简 述 有 效 载 荷 的 定 义 。
定义类	简 述 有 效 载 荷 数 据 单 元 的 定 义 。
定义类	简 述 物 理 层 的 定 义 。
定义类	简 述 表 示 层 的 定 义 。
定义类	简 述 项 目 8 0 2 的 定 义 。
定义类	简 述 协 议 数 据 单 元 的 定 义 。
定义类	简 述 协 议 栈 的 定 义 。
定义类	简 述 协 议 包 的 定 义 。
定义类	简 述 重 新 组 装 的 定 义 。
定义类	简 述 重 定 向 器 的 定 义 。
定义类	简 述 路 由 选 择 的 定 义 。
定义类	简 述 分 段 的 定 义 。
定义类	简 述 服 务 接 入 点 的 定 义 。
定义类	简 述 会 话 层 的 定 义 。
定义类	简 述 子 层 的 定 义 。
定义类	简 述 系 统 网 络 体 系 结 构 的 定 义 。
定义类	简 述 传 输 控 制 协 议 / I n t e r n e t 协 议 的 定 义 。
定义类	简 述 传 输 层 的 定 义 。
定义类	简 述 地 址 注 册 处 的 定 义 。
定义类	简 述 地 址 解 析 协 议 的 定 义 。
定义类	简 述 A p p l e T a l k 文 件 协 议 的 定 义 。
定义类	简 述 应 用 协 议 的 定 义 。
定义类	简 述 自 动 专 用 I P 寻 址 的 定 义 。
定义类	简 述 广 播 分 组 的 定 义 。
定义类	简 述 载 波 侦 听 多 路 接 入 / 碰 撞 避 免 的 定 义 。
定义类	简 述 载 波 侦 听 多 路 接 入 / 碰 撞 检 测 的 定 义 。
定义类	简 述 信 道 接 入 的 定 义 。
定义类	简 述 无 分 类 域 间 路 由 选 择 的 定 义 。
定义类	简 述 碰 撞 的 定 义 。
定义类	简 述 无 连 接 的 定 义 。
定义类	简 述 面 向 连 接 的 定 义 。
定义类	简 述 竞 争 的 定 义 。
定义类	简 述 数 据 信 道 的 定 义 。
定义类	简 述 数 据 链 路 控 制 的 定 义 。
定义类	简 述 数 据 部 分 的 定 义 。
定义类	简 述 数 据 报 的 定 义 。
定义类	简 述 D E C N e t 的 定 义 。
定义类	简 述 请 求 优 先 级 的 定 义 。
定义类	简 述 请 求 信 号 的 定 义 。
定义类	简 述 域 名 系 统 的 定 义 。
定义类	简 述 动 态 主 机 配 置 协 议 的 定 义 。
定义类	简 述 企 业 网 络 的 定 义 。
定义类	简 述 文 件 传 输 协 议 的 定 义 。
定义类	简 述 I n t e r n e t 控 制 消 息 协 议 的 定 义 。
定义类	简 述 I n t e r n e t 协 议 的 定 义 。
定义类	简 述 互 联 网 络 分 组 交 换 的 定 义 。
定义类	简 述 l o c a l h o s t 的 定 义 。
定义类	简 述 l o o p b a c k 的 定 义 。
定义类	简 述 组 播 分 组 的 定 义 。
定义类	简 述 N e t B E U I 的 定 义 。
定义类	简 述 N e t W a r e 核 心 协 议 的 定 义 。
定义类	简 述 网 络 地 址 转 换 的 定 义 。
定义类	简 述 网 络 基 本 输 入 / 输 出 系 统 的 定 义 。
定义类	简 述 不 可 路 由 选 择 的 定 义 。
定义类	简 述 N o v e l l   I P X   O D I 协 议 的 定 义 。
定义类	简 述 开 放 最 短 路 径 优 先 的 定 义 。
定义类	简 述 分 组 报 头 的 定 义 。
定义类	简 述 分 组 报 尾 的 定 义 。
定义类	简 述 有 效 载 荷 的 定 义 。
定义类	简 述 轮 询 的 定 义 。
定义类	简 述 主 设 备 的 定 义 。
定义类	简 述 协 议 的 定 义 。
定义类	简 述 可 路 由 选 择 的 定 义 。
定义类	简 述 路 由 选 择 的 定 义 。
定义类	简 述 路 由 信 息 协 议 的 定 义 。
定义类	简 述 从 属 设 备 的 定 义 。
定义类	简 述 顺 序 分 组 交 换 的 定 义 。
定义类	简 述 服 务 器 消 息 块 的 定 义 。
定义类	简 述 简 单 邮 件 传 输 协 议 的 定 义 。
定义类	简 述 简 单 网 络 管 理 协 议 的 定 义 。
定义类	简 述 子 网 掩 码 的 定 义 。
定义类	简 述 超 网 的 定 义 。
定义类	简 述 交 换 的 定 义 。
定义类	简 述 T e l n e t 的 定 义 。
定义类	简 述 令 牌 传 递 的 定 义 。
定义类	简 述 传 输 控 制 协 议 的 定 义 。
定义类	简 述 传 输 协 议 的 定 义 。
定义类	简 述 用 户 数 据 报 协 议 的 定 义 。
定义类	简 述 X . 2 5 的 定 义 。
定义类	简 述 X e r o x 网 络 系 统 的 定 义 。
定义类	简 述 5 - 4 - 3 规 则 的 定 义 。
定义类	简 述 活 动 监 控 器 的 定 义 。
定义类	简 述 信 标 的 定 义 。
定义类	简 述 线 缆 调 制 解 调 器 的 定 义 。
定义类	简 述 集 中 器 的 定 义 。
定义类	简 述 专 用 电 路 的 定 义 。
定义类	简 述 数 字 用 户 线 的 定 义 。
定义类	简 述 D I X 的 定 义 。
定义类	简 述 双 连 接 站 的 定 义 。
定义类	简 述 E t h e r n e t   8 0 2 . 2 的 定 义 。
定义类	简 述 E t h e r n e t   8 0 2 . 3 的 定 义 。
定义类	简 述 E t h e r n e t Ⅱ 的 定 义 。
定义类	简 述 E t h e r n e t   r a w 的 定 义 。
定义类	简 述 E t h e r n e t   S N A P 的 定 义 。
定义类	简 述 E t h e r T a l k 的 定 义 。
定义类	简 述 快 速 以 太 网 的 定 义 。
定义类	简 述 帧 类 型 的 定 义 。
定义类	简 述 千 兆 比 特 以 太 网 的 定 义 。
定义类	简 述 L o c a l T a l k 的 定 义 。
定义类	简 述 多 站 接 入 单 元 的 定 义 。
定义类	简 述 最 近 的 活 动 下 级 邻 居 的 定 义 。
定义类	简 述 最 近 的 活 动 上 级 邻 居 的 定 义 。
定义类	简 述 帕 洛 阿 尔 研 究 中 心 的 定 义 。
定义类	简 述 主 环 的 定 义 。
定义类	简 述 协 议 类 型 字 段 的 定 义 。
定义类	简 述 备 用 环 的 定 义 。
定义类	简 述 分 段 的 定 义 。
定义类	简 述 单 连 接 站 的 定 义 。
定义类	简 述 智 能 多 站 接 入 单 元 的 定 义 。
定义类	简 述 备 用 监 控 器 的 定 义 。
定义类	简 述 帧 起 始 定 界 符 的 定 义 。
定义类	简 述 令 牌 环 的 定 义 。
定义类	简 述 T o k e n T a l k 的 定 义 。
定义类	简 述 绑 定 的 定 义 。
定义类	简 述 客 户 网 络 软 件 的 定 义 。
定义类	简 述 协 作 式 多 任 务 的 定 义 。
定义类	简 述 指 示 器 的 定 义 。
定义类	简 述 目 录 服 务 的 定 义 。
定义类	简 述 驱 动 器 映 射 的 定 义 。
定义类	简 述 群 件 的 定 义 。
定义类	简 述 硬 件 兼 容 列 表 的 定 义 。
定义类	简 述 I n t e r n e t 消 息 访 问 协 议 的 定 义 。
定义类	简 述 成 员 服 务 器 的 定 义 。
定义类	简 述 消 息 处 理 系 统 的 定 义 。
定义类	简 述 多 任 务 的 定 义 。
定义类	简 述 命 名 约 定 的 定 义 。
定义类	简 述 网 络 应 用 程 序 的 定 义 。
定义类	简 述 网 络 操 作 系 统 的 定 义 。
定义类	简 述 网 络 服 务 的 定 义 。
定义类	简 述 分 区 的 定 义 。
定义类	简 述 邮 件 协 议 版 本 3 的 定 义 。
定义类	简 述 抢 先 式 多 任 务 的 定 义 。
定义类	简 述 请 求 器 的 定 义 。
定义类	简 述 日 程 表 的 定 义 。
定义类	简 述 服 务 器 网 络 软 件 的 定 义 。
定义类	简 述 共 享 的 定 义 。
定义类	简 述 命 令 解 释 程 序 的 定 义 。
定义类	简 述 简 单 邮 件 传 递 协 议 的 定 义 。
定义类	简 述 时 间 分 片 的 定 义 。
定义类	简 述 通 用 命 名 约 定 的 定 义 。
定义类	简 述 X . 4 0 0 的 定 义 。
定义类	简 述 X . 5 0 0 的 定 义 。
定义类	简 述 应 用 服 务 提 供 商 的 定 义 。
定义类	简 述 后 端 的 定 义 。
定义类	简 述 集 中 式 计 算 的 定 义 。
定义类	简 述 基 于 客 户 的 多 供 应 商 解 决 方 案 的 定 义 。
定义类	简 述 客 户 机 / 服 务 器 计 算 的 定 义 。
定义类	简 述 数 据 库 管 理 系 统 的 定 义 。
定义类	简 述 前 端 的 定 义 。
定义类	简 述 安 装 点 的 定 义 。
定义类	简 述 网 络 文 件 系 统 的 定 义 。
定义类	简 述 N F S 卷 的 定 义 。
定义类	简 述 开 放 资 源 的 定 义 。
定义类	简 述 S a m b a 的 定 义 。
定义类	简 述 基 于 服 务 器 的 多 供 应 商 解 决 方 案 的 定 义 。
定义类	简 述 结 构 化 查 询 语 言 的 定 义 。
定义类	简 述 终 端 服 务 的 定 义 。
定义类	简 述 瘦 客 户 机 的 定 义 。
定义类	简 述 账 户 锁 定 的 定 义 。
定义类	简 述 审 计 的 定 义 。
定义类	简 述 复 制 备 份 的 定 义 。
定义类	简 述 计 数 器 的 定 义 。
定义类	简 述 日 常 备 份 的 定 义 。
定义类	简 述 字 典 攻 击 的 定 义 。
定义类	简 述 差 异 备 份 的 定 义 。
定义类	简 述 磁 盘 双 工 的 定 义 。
定义类	简 述 磁 盘 镜 像 的 定 义 。
定义类	简 述 具 有 奇 偶 校 验 的 磁 盘 分 条 的 定 义 。
定义类	简 述 E v e n t   V i e w e r 的 定 义 。
定义类	简 述 容 错 磁 盘 配 置 的 定 义 。
定义类	简 述 全 局 组 的 定 义 。
定义类	简 述 组 的 定 义 。
定义类	简 述 硬 页 面 调 度 错 误 的 定 义 。
定义类	简 述 增 量 备 份 的 定 义 。
定义类	简 述 智 能 镜 像 的 定 义 。
定义类	简 述 本 地 组 的 定 义 。
定义类	简 述 混 合 模 式 的 定 义 。
定义类	简 述 本 机 模 式 的 定 义 。
定义类	简 述 N e t w o r k   M o n i t o r 的 定 义 。
定义类	简 述 正 常 备 份 的 定 义 。
定义类	简 述 对 象 的 定 义 。
定义类	简 述 口 令 的 定 义 。
定义类	简 述 P e r f o r m a n c e   M o n i t o r 的 定 义 。
定义类	简 述 功 率 调 节 的 定 义 。
定义类	简 述 排 队 命 令 的 定 义 。
定义类	简 述 原 始 数 据 的 定 义 。
定义类	简 述 廉 价 磁 盘 冗 余 阵 列 的 定 义 。
定义类	简 述 权 限 的 定 义 。
定义类	简 述 安 全 账 户 管 理 器 的 定 义 。
定义类	简 述 服 务 器 会 话 的 定 义 。
定义类	简 述 面 向 共 享 的 安 全 的 定 义 。
定义类	简 述 软 页 面 调 度 错 误 的 定 义 。
定义类	简 述 过 压 保 护 的 定 义 。
定义类	简 述 信 任 关 系 的 定 义 。
定义类	简 述 不 间 断 电 源 的 定 义 。
定义类	简 述 通 电 组 的 定 义 。
定义类	简 述 用 户 账 户 的 定 义 。
定义类	简 述 面 向 用 户 的 安 全 的 定 义 。
定义类	简 述 工 作 集 的 定 义 。
定义类	简 述 非 对 称 通 信 的 定 义 。
定义类	简 述 非 对 称 数 字 用 户 线 的 定 义 。
定义类	简 述 异 步 的 定 义 。
定义类	简 述 基 本 速 率 接 口 的 定 义 。
定义类	简 述 波 特 的 定 义 。
定义类	简 述 b i s 的 定 义 。
定义类	简 述 网 桥 的 定 义 。
定义类	简 述 桥 接 表 的 定 义 。
定义类	简 述 广 播 风 暴 的 定 义 。
定义类	简 述 桥 式 路 由 器 的 定 义 。
定义类	简 述 中 心 局 的 定 义 。
定义类	简 述 直 通 交 换 的 定 义 。
定义类	简 述 拨 号 网 络 的 定 义 。
定义类	简 述 数 字 调 制 解 调 器 的 定 义 。
定义类	简 述 数 字 用 户 线 的 定 义 。
定义类	简 述 发 现 的 定 义 。
定义类	简 述 距 离 矢 量 算 法 的 定 义 。
定义类	简 述 动 态 路 由 选 择 的 定 义 。
定义类	简 述 无 分 段 交 换 的 定 义 。
定义类	简 述 帧 的 定 义 。
定义类	简 述 帧 分 段 的 定 义 。
定义类	简 述 网 关 的 定 义 。
定义类	简 述 H a y e s 兼 容 的 定 义 。
定义类	简 述 高 级 数 据 链 路 控 制 的 定 义 。
定义类	简 述 综 合 业 务 数 字 网 的 定 义 。
定义类	简 述 国 际 电 信 联 盟 的 定 义 。
定义类	简 述 互 联 网 络 的 定 义 。
定义类	简 述 自 学 习 网 桥 的 定 义 。
定义类	简 述 链 路 状 态 算 法 的 定 义 。
定义类	简 述 调 制 解 调 器 的 定 义 。
定义类	简 述 网 络 终 端 的 定 义 。
定义类	简 述 不 可 路 由 选 择 的 协 议 的 定 义 。
定义类	简 述 点 对 点 协 议 的 定 义 。
定义类	简 述 主 速 率 接 口 的 定 义 。
定义类	简 述 传 输 延 迟 的 定 义 。
定义类	简 述 脉 冲 编 码 调 制 的 定 义 。
定义类	简 述 路 由 和 远 程 访 问 服 务 的 定 义 。
定义类	简 述 可 路 由 选 择 的 协 议 的 定 义 。
定义类	简 述 路 由 器 的 定 义 。
定义类	简 述 路 由 表 的 定 义 。
定义类	简 述 串 行 线 路 I n t e r n e t 协 议 的 定 义 。
定义类	简 述 源 路 由 网 桥 的 定 义 。
定义类	简 述 静 态 路 由 选 择 的 定 义 。
定义类	简 述 存 储 转 发 交 换 的 定 义 。
定义类	简 述 交 换 机 的 定 义 。
定义类	简 述 对 称 数 字 用 户 线 的 定 义 。
定义类	简 述 同 步 的 定 义 。
定义类	简 述 t e r 的 定 义 。
定义类	简 述 终 端 适 配 器 的 定 义 。
定义类	简 述 转 换 网 桥 的 定 义 。
定义类	简 述 透 明 网 桥 的 定 义 。
定义类	简 述 虚 拟 局 域 网 的 定 义 。
定义类	简 述 V 系 列 的 定 义 。
定义类	简 述 接 入 控 制 列 表 的 定 义 。
定义类	简 述 异 步 传 输 模 式 的 定 义 。
定义类	简 述 基 本 速 率 接 口 的 定 义 。
定义类	简 述 宽 带 I S D N 的 定 义 。
