问 句	标 准 答 案	学 生 答 案	得分
计 算 机 的 硬 件 组 成 分 为 几 个 层 次 ？	计 算 机 的 硬 件 组 成 分 别 是 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	计 算 机 的 硬 件 组 成 是 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	10.0
计 算 机 的 硬 件 组 成 分 为 几 个 层 次 ？	计 算 机 的 硬 件 组 成 分 别 是 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	网 络 、 设 备 、 芯 片 、 板 卡 。	10.0
C P U 的 主 要 结 构 有 什 么 ？	C P U 的 主 要 结 构 有 ： 寄 存 器 组 、 算 术 逻 辑 单 元 、 控 制 单 元 。	C P U 的 结 构 有 ： 寄 存 器 组 、 算 术 逻 辑 单 元 、 控 制 单 元 。	10.0
C P U 的 主 要 结 构 有 什 么 ？	C P U 的 主 要 结 构 有 ： 寄 存 器 组 、 算 术 逻 辑 单 元 、 控 制 单 元 。	算 术 逻 辑 单 元 、 控 制 单 元 、 寄 存 器 组 。	10.0
奔 腾 芯 片 有 哪 些 技 术 特 点 ？	奔 腾 芯 片 的 技 术 特 点 可 概 括 为 以 下 几 点 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 取 、 双 C a c h e 哈 佛 结 构 、 固 化 常 用 命 令 。	奔 腾 芯 片 的 技 术 特 点 如 下 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 取 、 双 C a c h e 哈 佛 结 构 、 固 化 常 用 命 令 。	10.0
奔 腾 芯 片 有 哪 些 技 术 特 点 ？	奔 腾 芯 片 的 技 术 特 点 可 概 括 为 以 下 几 点 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 取 、 双 C a c h e 哈 佛 结 构 、 固 化 常 用 命 令 。	分 支 预 取 、 超 流 水 线 技 术 、 超 标 量 技 术 、 错 误 检 测 、 功 能 冗 余 检 验 技 术 。	6.0
奔 腾 与 安 腾 芯 片 的 技 术 特 点 差 别 ？	奔 腾 与 安 腾 芯 片 的 区 别 如 下 ： 奔 腾 是 3 2 位 芯 片 ， 主 要 用 于 台 式 机 和 笔 记 本 电 脑 ； 而 安 腾 是 6 4 芯 片 ， 主 要 用 于 服 务 器 和 工 作 站 。	奔 腾 与 安 腾 芯 片 的 区 别 主 要 有 ： 奔 腾 是 3 2 位 芯 片 ， 主 要 用 于 台 式 机 和 笔 记 本 电 脑 ； 而 安 腾 是 6 4 芯 片 ， 主 要 用 于 服 务 器 和 工 作 站 。	10.0
奔 腾 与 安 腾 芯 片 的 技 术 特 点 差 别 ？	奔 腾 与 安 腾 芯 片 的 区 别 如 下 ： 奔 腾 是 3 2 位 芯 片 ， 主 要 用 于 台 式 机 和 笔 记 本 电 脑 ； 而 安 腾 是 6 4 芯 片 ， 主 要 用 于 服 务 器 和 工 作 站 。	区 别 如 下 ： 奔 腾 是 6 4 位 芯 片 ， 主 要 用 于 笔 记 本 电 脑 和 台 式 机 ； 而 安 腾 是 3 2 芯 片 ， 主 要 用 于 工 作 站 和 服 务 器 。	5.0
网 络 卡 有 哪 些 功 能 ？	网 络 卡 的 主 要 功 能 是 ： 实 现 与 主 机 总 线 的 通 信 连 接 ； 解 释 并 执 行 主 机 的 控 制 命 令 ； 实 现 数 据 链 路 层 的 功 能 ； 实 现 物 理 层 的 功 能 。	网 络 卡 的 功 能 如 下 ： 实 现 与 主 机 总 线 的 通 信 连 接 ； 解 释 并 执 行 主 机 的 控 制 命 令 ； 实 现 数 据 链 路 层 的 功 能 ； 实 现 物 理 层 的 功 能 。	10.0
网 络 卡 有 哪 些 功 能 ？	网 络 卡 的 主 要 功 能 是 ： 实 现 与 主 机 总 线 的 通 信 连 接 ； 解 释 并 执 行 主 机 的 控 制 命 令 ； 实 现 数 据 链 路 层 的 功 能 ； 实 现 物 理 层 的 功 能 。	功 能 ： 解 释 并 执 行 主 机 的 控 制 命 令 ； 实 现 与 主 机 总 线 的 通 信 连 接 ； 实 现 表 示 层 的 功 能 ； 实 现 会 话 层 的 功 能 。	5.0
主 板 有 哪 几 种 分 类 的 方 法 ？	主 板 的 分 类 依 据 如 下 ： C P U 芯 片 、 主 板 规 格 、 存 储 器 容 量 、 芯 片 集 、 数 据 端 口 。	主 板 的 分 类 依 据 ： C P U 芯 片 、 主 板 规 格 、 存 储 器 容 量 、 芯 片 集 、 数 据 端 口 。	10.0
主 板 有 哪 几 种 分 类 的 方 法 ？	主 板 的 分 类 依 据 如 下 ： C P U 芯 片 、 主 板 规 格 、 存 储 器 容 量 、 芯 片 集 、 数 据 端 口 。	C P U 插 座 、 生 产 厂 家 、 存 储 器 容 量 、 扩 展 槽 、 数 据 端 口 。	4.0
按 C P U 芯 片 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 C P U 芯 片 划 分 ， 主 板 可 分 为 以 下 几 类 ： 4 8 6 主 板 、 奔 腾 主 板 、 奔 腾 4 主 板 。	主 板 可 分 为 三 类 ： 4 8 6 主 板 、 奔 腾 主 板 、 奔 腾 4 主 板 。	10.0
按 C P U 芯 片 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 C P U 芯 片 划 分 ， 主 板 可 分 为 以 下 几 类 ： 4 8 6 主 板 、 奔 腾 主 板 、 奔 腾 4 主 板 。	主 板 的 类 别 ： 奔 腾 主 板 、 安 腾 主 板 、 4 8 6 主 板 。	6.0
按 主 板 的 规 格 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 主 板 的 规 格 划 分 ， 主 板 可 分 为 以 下 几 类 ： A T 主 板 、 B a b y - A T 主 板 、 A T X 主 板 。	主 板 可 分 为 三 类 ： A T 主 板 、 B a b y - A T 主 板 、 A T X 主 板 。	10.0
按 主 板 的 规 格 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 主 板 的 规 格 划 分 ， 主 板 可 分 为 以 下 几 类 ： A T 主 板 、 B a b y - A T 主 板 、 A T X 主 板 。	主 板 的 类 型 为 ： A T 主 板 、 B X 主 板 、 L X 主 板 。	3.0
按 存 储 器 容 量 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 存 储 器 容 量 划 分 ， 主 板 可 分 为 以 下 几 类 ： 1 6 M 主 板 、 3 2 M 主 板 、 6 4 M 主 板 。	主 板 可 分 为 三 类 ： 1 6 M 主 板 、 3 2 M 主 板 、 6 4 M 主 板 。	10.0
按 存 储 器 容 量 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 存 储 器 容 量 划 分 ， 主 板 可 分 为 以 下 几 类 ： 1 6 M 主 板 、 3 2 M 主 板 、 6 4 M 主 板 。	主 板 的 类 别 如 下 ： 1 2 8 M 主 板 、 6 4 M 主 板 、 3 2 M 主 板 。	6.0
按 芯 片 集 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 芯 片 集 划 分 ， 主 板 可 分 为 以 下 几 类 ： T X 主 板 、 L X 主 板 、 B X 主 板 。	主 板 可 分 为 三 类 ： T X 主 板 、 L X 主 板 、 B X 主 板 。	10.0
按 芯 片 集 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 芯 片 集 划 分 ， 主 板 可 分 为 以 下 几 类 ： T X 主 板 、 L X 主 板 、 B X 主 板 。	主 板 类 型 ： T X 主 板 、 A T 主 板 、 A T X 主 板 。	3.0
按 数 据 端 口 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 数 据 端 口 划 分 ， 主 板 可 分 为 以 下 几 类 ： S C S I 主 板 、 E D O 主 板 、 A G P 主 板 。	主 板 可 分 为 三 类 ： S C S I 主 板 、 E D O 主 板 、 A G P 主 板 。	10.0
按 数 据 端 口 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 数 据 端 口 划 分 ， 主 板 可 分 为 以 下 几 类 ： S C S I 主 板 、 E D O 主 板 、 A G P 主 板 。	主 板 类 型 如 下 ： U S B 主 板 、 E I S A 主 板 、 A G P 主 板 。	3.0
按 扩 展 槽 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 扩 展 槽 划 分 ， 主 板 可 分 为 以 下 几 类 ： E I S A 主 板 、 P C I 主 板 、 U S B 主 板 。	主 板 可 分 为 三 类 ： E I S A 主 板 、 P C I 主 板 、 U S B 主 板 。	10.0
按 扩 展 槽 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 扩 展 槽 划 分 ， 主 板 可 分 为 以 下 几 类 ： E I S A 主 板 、 P C I 主 板 、 U S B 主 板 。	主 板 的 类 型 有 ： S C S I 主 板 、 A G P 主 板 、 U S B 主 板 。	3.0
按 生 产 厂 家 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 生 产 厂 家 划 分 ， 主 板 可 分 为 以 下 几 类 ： 联 想 主 板 、 华 硕 主 板 、 航 嘉 主 板 。	主 板 可 分 为 三 类 ： 联 想 主 板 、 华 硕 主 板 、 航 嘉 主 板 。	10.0
按 生 产 厂 家 划 分 ， 主 板 有 哪 几 种 类 别 ？	按 生 产 厂 家 划 分 ， 主 板 可 分 为 以 下 几 类 ： 联 想 主 板 、 华 硕 主 板 、 航 嘉 主 板 。	主 板 的 类 别 有 ： 苹 果 主 板 、 华 硕 主 板 、 戴 尔 主 板 。	3.0
编 程 语 言 有 哪 些 类 型 ？	编 程 语 言 的 类 型 有 ： 机 器 语 言 、 汇 编 语 言 、 高 级 语 言 。	编 程 语 言 有 以 下 类 型 ： 机 器 语 言 、 汇 编 语 言 、 高 级 语 言 。	10.0
编 程 语 言 有 哪 些 类 型 ？	编 程 语 言 的 类 型 有 ： 机 器 语 言 、 汇 编 语 言 、 高 级 语 言 。	高 级 语 言 、 汇 编 语 言 、 机 器 语 言 。	10.0
软 件 开 发 的 各 个 阶 段 是 什 么 ？	软 件 开 发 的 各 个 阶 段 分 别 是 ： 计 划 阶 段 、 开 发 阶 段 、 运 行 阶 段 。	软 件 开 发 阶 段 是 ： 计 划 阶 段 、 开 发 阶 段 、 运 行 阶 段 。	10.0
软 件 开 发 的 各 个 阶 段 是 什 么 ？	软 件 开 发 的 各 个 阶 段 分 别 是 ： 计 划 阶 段 、 开 发 阶 段 、 运 行 阶 段 。	开 发 阶 段 、 运 行 阶 段 、 计 划 阶 段 。	10.0
多 媒 体 的 关 键 技 术 是 什 么 ？	多 媒 体 的 关 键 技 术 是 ： 数 据 压 缩 与 解 压 缩 技 术 、 多 媒 体 操 作 系 统 技 术 、 多 媒 体 数 据 管 理 技 术 。	多 媒 体 技 术 有 ： 数 据 压 缩 与 解 压 缩 技 术 、 多 媒 体 操 作 系 统 技 术 、 多 媒 体 数 据 管 理 技 术 。	10.0
多 媒 体 的 关 键 技 术 是 什 么 ？	多 媒 体 的 关 键 技 术 是 ： 数 据 压 缩 与 解 压 缩 技 术 、 多 媒 体 操 作 系 统 技 术 、 多 媒 体 数 据 管 理 技 术 。	多 媒 体 操 作 系 统 技 术 、 数 据 压 缩 与 解 压 缩 技 术 、 多 媒 体 数 据 管 理 技 术 。	10.0
计 算 机 网 络 有 哪 些 功 能 ？	计 算 机 网 路 的 功 能 ： 通 信 交 往 、 共 享 资 源 、 计 算 机 用 户 之 间 的 协 调 工 作 。	计 算 机 网 路 功 能 有 ： 通 信 交 往 、 共 享 资 源 、 计 算 机 用 户 之 间 的 协 调 工 作 。	10.0
计 算 机 网 络 有 哪 些 功 能 ？	计 算 机 网 路 的 功 能 ： 通 信 交 往 、 共 享 资 源 、 计 算 机 用 户 之 间 的 协 调 工 作 。	共 享 资 源 、 通 信 交 往 、 计 算 机 用 户 之 间 的 协 调 工 作 。	10.0
计 算 机 网 络 有 哪 些 用 途 ？	计 算 机 网 络 有 以 下 主 要 用 途 ： 可 产 生 一 个 性 价 比 更 高 的 应 用 环 境 ； 提 供 具 有 可 用 性 和 可 靠 性 更 高 的 应 用 环 境 ； 计 算 机 网 络 内 可 通 过 合 理 调 度 实 现 计 算 机 之 间 工 作 负 荷 的 均 衡 分 配 ； 由 计 算 机 网 络 构 成 的 系 统 可 以 更 方 便 地 进 行 资 源 扩 充 和 升 级 换 代 ； 可 提 供 友 好 方 便 的 用 户 使 用 界 面 和 计 算 机 资 源 的 有 效 管 理 手 段 。	计 算 机 网 络 的 用 途 ： 可 产 生 一 个 性 价 比 更 高 的 应 用 环 境 ； 提 供 具 有 可 用 性 和 可 靠 性 更 高 的 应 用 环 境 ； 计 算 机 网 络 内 可 通 过 合 理 调 度 实 现 计 算 机 之 间 工 作 负 荷 的 均 衡 分 配 ； 由 计 算 机 网 络 构 成 的 系 统 可 以 更 方 便 地 进 行 资 源 扩 充 和 升 级 换 代 ； 可 提 供 友 好 方 便 的 用 户 使 用 界 面 和 计 算 机 资 源 的 有 效 管 理 手 段 。	10.0
计 算 机 网 络 有 哪 些 用 途 ？	计 算 机 网 络 有 以 下 主 要 用 途 ： 可 产 生 一 个 性 价 比 更 高 的 应 用 环 境 ； 提 供 具 有 可 用 性 和 可 靠 性 更 高 的 应 用 环 境 ； 计 算 机 网 络 内 可 通 过 合 理 调 度 实 现 计 算 机 之 间 工 作 负 荷 的 均 衡 分 配 ； 由 计 算 机 网 络 构 成 的 系 统 可 以 更 方 便 地 进 行 资 源 扩 充 和 升 级 换 代 ； 可 提 供 友 好 方 便 的 用 户 使 用 界 面 和 计 算 机 资 源 的 有 效 管 理 手 段 。	可 产 生 一 个 运 行 效 率 更 高 的 应 用 环 境 ； 提 供 具 有 安 全 性 和 实 时 性 更 高 的 应 用 环 境 ； 可 提 供 友 好 方 便 的 用 户 使 用 界 面 和 计 算 机 资 源 的 有 效 管 理 手 段 ； 计 算 机 网 络 内 可 通 过 合 理 调 度 实 现 计 算 机 之 间 工 作 负 荷 的 均 衡 分 配 ； 由 计 算 机 网 络 构 成 的 系 统 可 以 更 方 便 地 进 行 资 源 扩 充 和 升 级 换 代 。	6.0
资 源 子 网 的 主 要 结 构 有 什 么 ？	资 源 子 网 的 组 成 ： 主 计 算 机 、 终 端 、 终 端 控 制 器 、 连 网 外 设 、 各 种 软 件 资 源 与 信 息 资 源 。	资 源 子 网 的 组 成 部 分 为 ： 主 计 算 机 、 终 端 、 终 端 控 制 器 、 连 网 外 设 、 各 种 软 件 资 源 与 信 息 资 源 。	10.0
资 源 子 网 的 主 要 结 构 有 什 么 ？	资 源 子 网 的 组 成 ： 主 计 算 机 、 终 端 、 终 端 控 制 器 、 连 网 外 设 、 各 种 软 件 资 源 与 信 息 资 源 。	连 网 外 设 、 终 端 、 终 端 控 制 器 、 主 计 算 机 、 各 种 软 件 资 源 与 信 息 资 源 。	10.0
通 信 子 网 的 主 要 结 构 有 什 么 ？	通 信 子 网 的 组 成 ： 通 信 控 制 处 理 机 、 通 信 线 路 、 其 他 通 信 设 备 。	通 信 子 网 的 组 成 部 分 为 ： 通 信 控 制 处 理 机 、 通 信 线 路 、 其 他 通 信 设 备 。	10.0
通 信 子 网 的 主 要 结 构 有 什 么 ？	通 信 子 网 的 组 成 ： 通 信 控 制 处 理 机 、 通 信 线 路 、 其 他 通 信 设 备 。	通 信 线 路 、 通 信 控 制 处 理 机 、 其 他 通 信 设 备 。	10.0
分 布 式 系 统 有 什 么 特 征 ？	分 布 式 系 统 有 以 下 五 个 特 征 ： 系 统 拥 有 多 种 可 动 态 分 配 任 务 的 通 用 物 理 和 逻 辑 资 源 ； 系 统 中 分 散 的 物 理 和 逻 辑 资 源 通 过 计 算 机 网 络 实 现 信 息 交 换 ； 系 统 存 在 一 个 以 全 局 方 式 管 理 系 统 资 源 的 分 布 式 操 作 系 统 ； 系 统 中 联 网 的 计 算 机 既 相 互 合 作 又 相 互 自 治 ； 系 统 内 部 结 构 对 用 户 是 完 全 透 明 的 。	分 布 式 系 统 的 特 征 ： 系 统 拥 有 多 种 可 动 态 分 配 任 务 的 通 用 物 理 和 逻 辑 资 源 ； 系 统 中 分 散 的 物 理 和 逻 辑 资 源 通 过 计 算 机 网 络 实 现 信 息 交 换 ； 系 统 存 在 一 个 以 全 局 方 式 管 理 系 统 资 源 的 分 布 式 操 作 系 统 ； 系 统 中 联 网 的 计 算 机 既 相 互 合 作 又 相 互 自 治 ； 系 统 内 部 结 构 对 用 户 是 完 全 透 明 的 。	10.0
分 布 式 系 统 有 什 么 特 征 ？	分 布 式 系 统 有 以 下 五 个 特 征 ： 系 统 拥 有 多 种 可 动 态 分 配 任 务 的 通 用 物 理 和 逻 辑 资 源 ； 系 统 中 分 散 的 物 理 和 逻 辑 资 源 通 过 计 算 机 网 络 实 现 信 息 交 换 ； 系 统 存 在 一 个 以 全 局 方 式 管 理 系 统 资 源 的 分 布 式 操 作 系 统 ； 系 统 中 联 网 的 计 算 机 既 相 互 合 作 又 相 互 自 治 ； 系 统 内 部 结 构 对 用 户 是 完 全 透 明 的 。	分 布 式 系 统 的 五 个 特 征 ： 系 统 拥 有 多 种 可 静 态 分 配 任 务 的 软 硬 件 资 源 ； 系 统 中 分 散 的 软 硬 件 资 源 通 过 通 信 信 道 实 现 信 息 交 换 ； 系 统 中 联 网 的 计 算 机 既 相 互 合 作 又 相 互 自 治 ； 系 统 存 在 一 个 以 局 部 方 式 管 理 系 统 资 源 的 集 中 式 操 作 系 统 ； 系 统 外 部 结 构 对 用 户 是 完 全 公 开 的 。	2.0
计 算 机 网 络 有 哪 几 种 分 类 的 方 法 ？	计 算 机 网 络 的 分 类 依 据 如 下 ： 网 络 中 采 用 的 信 息 交 换 方 式 、 传 输 技 术 、 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 。	计 算 机 网 络 的 分 类 依 据 ： 网 络 中 采 用 的 信 息 交 换 方 式 、 传 输 技 术 、 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 。	10.0
计 算 机 网 络 有 哪 几 种 分 类 的 方 法 ？	计 算 机 网 络 的 分 类 依 据 如 下 ： 网 络 中 采 用 的 信 息 交 换 方 式 、 传 输 技 术 、 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 。	网 络 的 分 类 依 据 如 下 ： 转 发 技 术 、 网 络 中 采 用 的 信 息 交 换 方 式 、 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 。	6.0
按 网 络 中 采 用 的 信 息 交 换 方 式 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？	按 网 络 中 采 用 的 信 息 交 换 方 式 划 分 ， 计 算 机 网 络 可 分 为 电 路 交 换 网 、 分 组 交 换 网 、 综 合 式 业 务 数 字 网 。	计 算 机 网 络 可 分 为 电 路 交 换 网 、 分 组 交 换 网 、 综 合 式 业 务 数 字 网 。	10.0
按 网 络 中 采 用 的 信 息 交 换 方 式 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？	按 网 络 中 采 用 的 信 息 交 换 方 式 划 分 ， 计 算 机 网 络 可 分 为 电 路 交 换 网 、 分 组 交 换 网 、 综 合 式 业 务 数 字 网 。	计 算 机 网 络 的 类 别 ： 报 文 交 换 网 、 电 路 交 换 网 、 综 合 式 业 务 数 字 网 。	6.0
按 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？	按 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 划 分 ， 计 算 机 网 络 可 分 为 ： 计 算 机 局 域 网 、 计 算 机 城 域 网 、 计 算 机 广 域 网 。	计 算 机 网 络 可 分 为 ： 计 算 机 局 域 网 、 计 算 机 城 域 网 、 计 算 机 广 域 网 。	10.0
按 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 划 分 ， 计 算 机 网 络 有 哪 几 种 类 别 ？	按 系 统 内 计 算 机 之 间 的 耦 合 程 序 和 覆 盖 范 围 划 分 ， 计 算 机 网 络 可 分 为 ： 计 算 机 局 域 网 、 计 算 机 城 域 网 、 计 算 机 广 域 网 。	计 算 机 网 络 的 类 型 ： 计 算 机 个 人 网 、 计 算 机 域 域 网 、 计 算 机 广 域 网 。	3.0
简 述 局 域 网 的 特 点 。	局 域 网 的 特 点 主 要 表 现 在 以 下 几 个 方 面 ： 局 域 网 覆 盖 有 限 的 地 理 范 围 ， 网 络 的 所 有 物 理 设 备 分 布 半 径 不 超 过 几 公 里 ； 局 域 网 可 实 现 相 当 高 的 数 据 传 输 率 ； 整 个 网 络 一 般 属 于 一 个 组 织 或 机 构 所 有 ； 网 络 连 接 线 应 当 规 整 。	局 域 网 的 特 点 ： 局 域 网 覆 盖 有 限 的 地 理 范 围 ； 局 域 网 可 实 现 相 当 高 的 数 据 传 输 率 ； 整 个 网 络 一 般 属 于 一 个 组 织 或 机 构 所 有 ； 网 络 连 接 线 应 当 规 整 。	10.0
简 述 局 域 网 的 特 点 。	局 域 网 的 特 点 主 要 表 现 在 以 下 几 个 方 面 ： 局 域 网 覆 盖 有 限 的 地 理 范 围 ， 网 络 的 所 有 物 理 设 备 分 布 半 径 不 超 过 几 公 里 ； 局 域 网 可 实 现 相 当 高 的 数 据 传 输 率 ； 整 个 网 络 一 般 属 于 一 个 组 织 或 机 构 所 有 ； 网 络 连 接 线 应 当 规 整 。	特 点 如 下 ： 局 域 网 覆 盖 有 限 的 地 理 范 围 ； 提 供 低 误 码 率 的 高 质 量 数 据 传 输 环 境 ； 易 于 维 护 与 扩 展 ； 有 严 格 的 标 准 可 循 。	2.5
简 述 局 域 网 的 应 用 。	局 域 网 的 应 用 如 下 ： 公 司 、 机 关 、 学 校 、 工 厂 。	应 用 如 下 ： 公 司 、 机 关 、 学 校 、 工 厂 。	10.0
简 述 局 域 网 的 应 用 。	局 域 网 的 应 用 如 下 ： 公 司 、 机 关 、 学 校 、 工 厂 。	局 域 网 主 要 用 于 单 位 、 机 房 、 小 区 、 工 厂 。	2.5
简 述 局 域 网 常 用 的 传 输 介 质 。	局 域 网 常 用 的 传 输 介 质 有 ： 同 轴 电 缆 、 双 绞 线 、 光 纤 、 无 线 通 信 信 道 。	常 用 的 传 输 介 质 ： 同 轴 电 缆 、 双 绞 线 、 光 纤 、 无 线 通 信 信 道 。	10.0
简 述 局 域 网 常 用 的 传 输 介 质 。	局 域 网 常 用 的 传 输 介 质 有 ： 同 轴 电 缆 、 双 绞 线 、 光 纤 、 无 线 通 信 信 道 。	局 域 网 的 传 输 介 质 ： 同 轴 电 缆 、 红 外 线 、 微 波 、 有 限 电 话 通 信 。	2.5
简 述 城 域 网 的 特 点 。	城 域 网 主 要 有 以 下 几 个 特 点 ： 可 以 使 用 双 环 结 构 ， 具 有 容 错 能 力 ； 可 以 使 用 多 模 或 单 模 光 纤 ； 具 有 动 态 分 配 带 宽 的 能 力 ， 能 支 持 同 步 和 异 步 数 据 传 输 。	城 域 网 的 特 点 ： 可 以 使 用 双 环 结 构 ； 具 有 容 错 能 力 ； 可 以 使 用 多 模 或 单 模 光 纤 ； 具 有 动 态 分 配 带 宽 的 能 力 ； 能 支 持 同 步 和 异 步 数 据 传 输 。	10.0
简 述 城 域 网 的 特 点 。	城 域 网 主 要 有 以 下 几 个 特 点 ： 可 以 使 用 双 环 结 构 ， 具 有 容 错 能 力 ； 可 以 使 用 多 模 或 单 模 光 纤 ； 具 有 动 态 分 配 带 宽 的 能 力 ， 能 支 持 同 步 和 异 步 数 据 传 输 。	特 点 如 下 ： 可 以 使 用 双 环 结 构 ； 具 有 纠 错 能 力 ； 可 以 使 用 屏 蔽 或 非 屏 蔽 双 绞 线 ； 具 有 静 态 分 配 基 带 的 能 力 ； 能 支 持 单 工 和 双 工 数 据 传 输 。	2.5
简 述 城 域 网 的 应 用 。	城 域 网 主 要 有 以 下 几 种 应 用 环 境 ： 计 算 机 机 房 网 、 办 公 室 或 建 筑 物 群 的 主 干 网 、 校 园 网 的 主 干 网 、 多 校 园 的 主 干 网 。	城 域 网 的 应 用 环 境 ： 计 算 机 机 房 网 、 办 公 室 或 建 筑 物 群 的 主 干 网 、 校 园 网 的 主 干 网 、 多 校 园 的 主 干 网 。	10.0
