问 句	标 准 答 案	学 生 答 案	得分
简 述 客 户 机 / 服 务 器 的 定 义 。	客 户 机 / 服 务 器 的 定 义 如 下 ： 一 个 计 算 模 型 ， 其 中 一 部 分 计 算 机 负 责 请 求 服 务 ， 其 余 计 算 机 则 负 责 对 这 类 服 务 请 求 做 出 响 应 。	一 个 专 用 的 网 络 服 务 器 ， 其 中 一 部 分 计 算 机 负 责 请 求 资 源 ， 其 余 计 算 机 则 负 责 对 这 类 资 源 请 求 做 出 响 应 。	0.0
简 述 客 户 机 / 服 务 器 模 式 的 定 义 。	客 户 机 / 服 务 器 模 式 的 定 义 如 下 ： 客 户 端 组 件 运 行 在 用 户 计 算 机 上 ， 并 且 提 供 请 求 和 显 示 服 务 ； 而 服 务 器 端 组 件 运 行 在 服 务 器 上 ， 并 且 代 表 用 户 完 成 数 据 处 理 。	定 义 如 下 ： 客 户 端 组 件 运 行 在 用 户 计 算 机 上 ， 并 且 提 供 请 求 和 显 示 服 务 ； 而 服 务 器 端 组 件 运 行 在 服 务 器 上 ， 并 且 代 表 用 户 完 成 数 据 处 理 。	10.0
简 述 客 户 机 / 服 务 器 模 式 的 定 义 。	客 户 机 / 服 务 器 模 式 的 定 义 如 下 ： 客 户 端 组 件 运 行 在 用 户 计 算 机 上 ， 并 且 提 供 请 求 和 显 示 服 务 ； 而 服 务 器 端 组 件 运 行 在 服 务 器 上 ， 并 且 代 表 用 户 完 成 数 据 处 理 。	客 户 端 组 件 工 作 在 用 户 计 算 机 上 ， 支 持 请 求 和 显 示 服 务 ； 服 务 器 端 组 件 工 作 在 服 务 器 上 ， 表 示 用 户 完 成 密 集 型 计 算 服 务 。	7.5
简 述 通 信 服 务 器 的 定 义 。	通 信 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 为 没 有 直 接 连 接 到 网 络 的 用 户 提 供 对 网 络 资 源 的 访 问 ， 允 许 网 络 用 户 访 问 没 有 直 接 连 接 到 网 络 的 外 部 资 源 。	定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 为 没 有 直 接 连 接 到 网 络 的 用 户 提 供 对 网 络 资 源 的 访 问 ， 允 许 网 络 用 户 访 问 没 有 直 接 连 接 到 网 络 的 外 部 资 源 。	10.0
简 述 通 信 服 务 器 的 定 义 。	通 信 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 为 没 有 直 接 连 接 到 网 络 的 用 户 提 供 对 网 络 资 源 的 访 问 ， 允 许 网 络 用 户 访 问 没 有 直 接 连 接 到 网 络 的 外 部 资 源 。	一 个 计 算 模 型 ， 拒 绝 网 络 用 户 访 问 没 有 直 接 连 接 到 网 络 的 外 部 资 源 ， 为 没 有 直 接 连 接 到 网 络 的 用 户 提 供 对 网 络 资 源 的 访 问 。	3.0
简 述 专 用 服 务 器 的 定 义 。	专 用 服 务 器 的 定 义 如 下 ： 只 充 当 服 务 器 并 且 不 打 算 作 为 客 户 机 使 用 的 网 络 服 务 器 。	定 义 如 下 ： 只 充 当 服 务 器 并 且 不 打 算 作 为 客 户 机 使 用 的 网 络 服 务 器 。	10.0
简 述 专 用 服 务 器 的 定 义 。	专 用 服 务 器 的 定 义 如 下 ： 只 充 当 服 务 器 并 且 不 打 算 作 为 客 户 机 使 用 的 网 络 服 务 器 。	一 个 网 络 服 务 器 ， 只 充 当 服 务 器 并 且 不 打 算 作 为 客 户 机 使 用 。	10.0
简 述 桌 面 软 件 的 定 义 。	桌 面 软 件 的 定 义 如 下 ： 又 称 客 户 软 件 ， 用 户 在 他 们 的 计 算 机 上 运 行 这 类 软 件 。	定 义 如 下 ： 又 称 客 户 软 件 ， 用 户 在 他 们 的 计 算 机 上 运 行 这 类 软 件 。	10.0
简 述 桌 面 软 件 的 定 义 。	桌 面 软 件 的 定 义 如 下 ： 又 称 客 户 软 件 ， 用 户 在 他 们 的 计 算 机 上 运 行 这 类 软 件 。	又 称 产 品 应 用 程 序 ， 在 用 户 计 算 机 上 运 行 的 软 件 。	5.0
简 述 设 备 共 享 的 定 义 。	设 备 共 享 的 定 义 如 下 ： 联 网 的 主 要 目 的 是 允 许 用 户 共 享 对 各 类 设 备 的 接 入 ， 包 括 服 务 器 、 打 印 机 、 扫 描 仪 。	定 义 如 下 ： 联 网 的 主 要 目 的 是 允 许 用 户 共 享 对 各 类 设 备 的 接 入 ， 包 括 服 务 器 、 打 印 机 、 扫 描 仪 。	10.0
简 述 设 备 共 享 的 定 义 。	设 备 共 享 的 定 义 如 下 ： 联 网 的 主 要 目 的 是 允 许 用 户 共 享 对 各 类 设 备 的 接 入 ， 包 括 服 务 器 、 打 印 机 、 扫 描 仪 。	联 网 的 主 要 目 的 是 允 许 用 户 共 享 对 各 类 设 备 的 接 入 ， 包 括 服 务 器 、 硬 盘 、 显 卡 。	5.0
简 述 目 录 服 务 器 的 定 义 。	目 录 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 服 务 器 ， 其 任 务 是 对 特 定 资 源 、 服 务 、 用 户 、 组 的 请 求 做 出 响 应 。	定 义 如 下 ： 一 个 专 用 的 服 务 器 ， 其 任 务 是 对 特 定 资 源 、 服 务 、 用 户 、 组 的 请 求 做 出 响 应 。	10.0
简 述 目 录 服 务 器 的 定 义 。	目 录 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 服 务 器 ， 其 任 务 是 对 特 定 资 源 、 服 务 、 用 户 、 组 的 请 求 做 出 响 应 。	一 个 计 算 模 型 ， 其 任 务 是 对 计 算 机 、 用 户 、 账 户 、 其 他 网 络 资 源 的 请 求 做 出 响 应 。	2.0
简 述 域 的 定 义 。	域 的 定 义 如 下 ： 惟 一 指 定 的 共 享 一 个 公 共 安 全 数 据 库 的 用 户 账 户 和 资 源 的 集 合 。	定 义 如 下 ： 惟 一 指 定 的 共 享 一 个 公 共 安 全 数 据 库 的 用 户 账 户 和 资 源 的 集 合 。	10.0
简 述 域 的 定 义 。	域 的 定 义 如 下 ： 惟 一 指 定 的 共 享 一 个 公 共 安 全 数 据 库 的 用 户 账 户 和 资 源 的 集 合 。	惟 一 指 定 的 用 户 账 户 和 资 源 的 集 合 ， 且 共 享 一 个 公 共 安 全 数 据 库 。	10.0
简 述 域 控 制 器 的 定 义 。	域 控 制 器 的 定 义 如 下 ： 在 基 于 W i n d o w s   2 0 0 0   S e r v e r 的 网 络 上 ， 还 提 供 了 对 用 户 、 账 户 、 组 、 计 算 机 的 接 入 控 制 的 目 录 服 务 器 。	定 义 如 下 ： 在 基 于 W i n d o w s   2 0 0 0   S e r v e r 的 网 络 上 ， 还 提 供 了 对 用 户 、 账 户 、 组 、 计 算 机 的 接 入 控 制 的 目 录 服 务 器 。	10.0
简 述 域 控 制 器 的 定 义 。	域 控 制 器 的 定 义 如 下 ： 在 基 于 W i n d o w s   2 0 0 0   S e r v e r 的 网 络 上 ， 还 提 供 了 对 用 户 、 账 户 、 组 、 计 算 机 的 接 入 控 制 的 目 录 服 务 器 。	在 基 于 W i n d o w s   2 0 0 3   P r o f e s s i o n a l 的 网 络 上 ， 还 提 供 了 对 特 定 资 源 、 服 务 、 组 、 其 他 网 络 资 源 的 接 入 控 制 的 目 录 服 务 器 。	2.0
简 述 域 模 型 的 定 义 。	域 模 型 的 定 义 如 下 ： 一 个 基 于 W i n d o w s   N T   S e r v e r 的 网 络 ， 并 且 它 的 安 全 和 接 入 控 制 驻 留 在 域 控 制 器 中 。	定 义 如 下 ： 一 个 基 于 W i n d o w s   N T   S e r v e r 的 网 络 ， 并 且 它 的 安 全 和 接 入 控 制 驻 留 在 域 控 制 器 中 。	10.0
简 述 域 模 型 的 定 义 。	域 模 型 的 定 义 如 下 ： 一 个 基 于 W i n d o w s   N T   S e r v e r 的 网 络 ， 并 且 它 的 安 全 和 接 入 控 制 驻 留 在 域 控 制 器 中 。	一 个 基 于 W i n d o w s   2 0 0 0   S e r v e r 的 网 络 ， 并 且 它 的 接 入 控 制 和 安 全 驻 留 在 域 控 制 器 中 。	5.0
简 述 电 子 邮 件 的 定 义 。	电 子 邮 件 的 定 义 如 下 ： 允 许 用 户 给 单 个 用 户 组 发 送 文 本 信 息 的 联 网 应 用 程 序 。	定 义 如 下 ： 允 许 用 户 给 单 个 用 户 组 发 送 文 本 信 息 的 联 网 应 用 程 序 。	10.0
简 述 电 子 邮 件 的 定 义 。	电 子 邮 件 的 定 义 如 下 ： 允 许 用 户 给 单 个 用 户 组 发 送 文 本 信 息 的 联 网 应 用 程 序 。	允 许 用 户 给 指 定 的 用 户 组 发 送 多 媒 体 信 息 的 联 网 应 用 程 序 。	0.0
简 述 以 太 网 的 定 义 。	以 太 网 的 定 义 如 下 ： 2 0 世 纪 7 0 年 代 初 开 发 的 一 个 联 网 技 术 ， 由 I E E E   8 0 2 . 3 标 准 管 理 ， 是 目 前 最 流 行 的 一 类 联 网 技 术 。	定 义 如 下 ： 2 0 世 纪 7 0 年 代 初 开 发 的 一 个 联 网 技 术 ， 由 I E E E   8 0 2 . 3 标 准 管 理 ， 是 目 前 最 流 行 的 一 类 联 网 技 术 。	10.0
简 述 以 太 网 的 定 义 。	以 太 网 的 定 义 如 下 ： 2 0 世 纪 7 0 年 代 初 开 发 的 一 个 联 网 技 术 ， 由 I E E E   8 0 2 . 3 标 准 管 理 ， 是 目 前 最 流 行 的 一 类 联 网 技 术 。	2 0 世 纪 6 0 年 代 末 开 发 的 一 个 联 网 技 术 ， 由 I E E E   8 0 2 . 5 标 准 管 理 ， 是 当 今 最 广 泛 使 用 的 一 类 联 网 技 术 。	3.0
简 述 E x c h a n g e   S e r v e r 的 定 义 。	E x c h a n g e   S e r v e r 的 定 义 如 下 ： 充 当 复 杂 电 子 邮 件 服 务 器 的 M i c r o s o f t 的 B a c k O f f i c e 组 件 。	定 义 如 下 ： 充 当 复 杂 电 子 邮 件 服 务 器 的 M i c r o s o f t 的 B a c k O f f i c e 组 件 。	10.0
简 述 E x c h a n g e   S e r v e r 的 定 义 。	E x c h a n g e   S e r v e r 的 定 义 如 下 ： 充 当 复 杂 电 子 邮 件 服 务 器 的 M i c r o s o f t 的 B a c k O f f i c e 组 件 。	充 当 专 用 网 络 服 务 器 的 M i c r o s o f t 的 B a c k O f f i c e 构 件 。	0.0
简 述 传 真 服 务 器 的 定 义 。	传 真 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 可 以 代 表 它 支 持 的 用 户 团 体 接 收 和 发 送 传 真 、 从 电 话 线 接 收 输 入 的 传 真 并 将 它 们 通 过 网 络 发 送 给 用 户 ， 以 及 通 过 网 络 接 收 输 出 的 传 真 并 在 电 话 线 上 再 次 发 送 它 们 。	定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 可 以 代 表 它 支 持 的 用 户 团 体 接 收 和 发 送 传 真 、 从 电 话 线 接 收 输 入 的 传 真 并 将 它 们 通 过 网 络 发 送 给 用 户 ， 以 及 通 过 网 络 接 收 输 出 的 传 真 并 在 电 话 线 上 再 次 发 送 它 们 。	10.0
简 述 传 真 服 务 器 的 定 义 。	传 真 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 可 以 代 表 它 支 持 的 用 户 团 体 接 收 和 发 送 传 真 、 从 电 话 线 接 收 输 入 的 传 真 并 将 它 们 通 过 网 络 发 送 给 用 户 ， 以 及 通 过 网 络 接 收 输 出 的 传 真 并 在 电 话 线 上 再 次 发 送 它 们 。	一 个 计 算 模 型 ， 可 代 其 支 持 的 用 户 团 体 发 送 和 接 收 传 真 、 从 网 络 接 收 输 入 的 传 真 并 将 它 们 通 过 电 话 线 发 送 给 用 户 ， 以 及 通 过 电 话 线 接 收 输 出 的 传 真 并 在 网 络 上 再 次 发 送 它 们 。	2.5
简 述 文 件 和 打 印 服 务 器 的 定 义 。	文 件 和 打 印 服 务 器 的 定 义 如 下 ： 最 常 见 的 网 络 服 务 器 类 型 ， 提 供 网 络 上 的 文 件 存 储 、 检 索 服 务 ， 并 且 代 表 它 的 用 户 团 体 处 理 打 印 工 作 。	定 义 如 下 ： 最 常 见 的 网 络 服 务 器 类 型 ， 提 供 网 络 上 的 文 件 存 储 、 检 索 服 务 ， 并 且 代 表 它 的 用 户 团 体 处 理 打 印 工 作 。	10.0
简 述 文 件 和 打 印 服 务 器 的 定 义 。	文 件 和 打 印 服 务 器 的 定 义 如 下 ： 最 常 见 的 网 络 服 务 器 类 型 ， 提 供 网 络 上 的 文 件 存 储 、 检 索 服 务 ， 并 且 代 表 它 的 用 户 团 体 处 理 打 印 工 作 。	一 个 专 用 的 服 务 器 ， 提 供 网 络 上 的 文 件 存 储 、 下 载 服 务 ， 并 且 代 表 它 的 用 户 团 体 发 送 和 接 收 文 件 。	2.5
简 述 文 件 传 输 协 议 的 定 义 。	文 件 传 输 协 议 的 定 义 如 下 ： 一 个 具 有 相 关 协 议 的 联 网 文 件 传 输 程 序 ， 广 泛 用 于 从 网 络 上 的 一 台 计 算 机 向 另 一 台 计 算 机 复 制 文 件 。	定 义 如 下 ： 一 个 具 有 相 关 协 议 的 联 网 文 件 传 输 程 序 ， 广 泛 用 于 从 网 络 上 的 一 台 计 算 机 向 另 一 台 计 算 机 复 制 文 件 。	10.0
简 述 文 件 传 输 协 议 的 定 义 。	文 件 传 输 协 议 的 定 义 如 下 ： 一 个 具 有 相 关 协 议 的 联 网 文 件 传 输 程 序 ， 广 泛 用 于 从 网 络 上 的 一 台 计 算 机 向 另 一 台 计 算 机 复 制 文 件 。	一 个 基 于 T C P / I P 的 联 网 文 件 传 输 程 序 ， 广 泛 用 于 从 网 络 上 的 一 台 计 算 机 向 另 一 台 计 算 机 拷 贝 文 件 。	0.0
简 述 组 的 定 义 。	组 的 定 义 如 下 ： 一 个 指 定 的 用 户 账 号 集 合 ， 通 常 是 为 一 些 特 定 应 用 创 建 的 ， A c c o u n t i n g 组 是 允 许 使 用 记 账 应 用 程 序 的 惟 一 指 定 的 实 体 。	定 义 如 下 ： 一 个 指 定 的 用 户 账 号 集 合 ， 通 常 是 为 一 些 特 定 应 用 创 建 的 ， A c c o u n t i n g 组 是 允 许 使 用 记 账 应 用 程 序 的 惟 一 指 定 的 实 体 。	10.0
简 述 组 的 定 义 。	组 的 定 义 如 下 ： 一 个 指 定 的 用 户 账 号 集 合 ， 通 常 是 为 一 些 特 定 应 用 创 建 的 ， A c c o u n t i n g 组 是 允 许 使 用 记 账 应 用 程 序 的 惟 一 指 定 的 实 体 。	一 个 指 定 的 资 源 集 合 ， 通 常 是 为 一 些 特 定 服 务 创 建 的 ， A c c o u n t i n g 组 是 惟 一 指 定 的 允 许 使 用 记 账 应 用 程 序 的 实 体 。	3.0
简 述 热 交 换 的 定 义 。	热 交 换 的 定 义 如 下 ： 不 需 要 关 闭 计 算 机 电 源 就 可 以 从 计 算 机 上 拆 卸 的 组 件 ， 没 有 停 机 时 间 ， 包 括 电 源 、 硬 盘 驱 动 器 。	定 义 如 下 ： 不 需 要 关 闭 计 算 机 电 源 就 可 以 从 计 算 机 上 拆 卸 的 组 件 ， 没 有 停 机 时 间 ， 包 括 电 源 、 硬 盘 驱 动 器 。	10.0
简 述 热 交 换 的 定 义 。	热 交 换 的 定 义 如 下 ： 不 需 要 关 闭 计 算 机 电 源 就 可 以 从 计 算 机 上 拆 卸 的 组 件 ， 没 有 停 机 时 间 ， 包 括 电 源 、 硬 盘 驱 动 器 。	无 需 关 闭 计 算 机 电 源 也 可 从 计 算 机 上 替 换 的 组 件 ， 没 有 停 机 时 间 ， 包 括 主 机 、 光 盘 驱 动 器 。	2.5
简 述 混 合 网 络 的 定 义 。	混 合 网 络 的 定 义 如 下 ： 一 个 结 合 了 对 等 网 络 和 基 于 服 务 器 网 络 的 特 性 的 网 络 。	定 义 如 下 ： 一 个 结 合 了 对 等 网 络 和 基 于 服 务 器 网 络 的 特 性 的 网 络 。	10.0
简 述 混 合 网 络 的 定 义 。	混 合 网 络 的 定 义 如 下 ： 一 个 结 合 了 对 等 网 络 和 基 于 服 务 器 网 络 的 特 性 的 网 络 。	一 个 综 合 了 基 于 交 换 机 网 络 和 点 对 点 网 络 的 特 性 的 网 络 。	0.0
简 述 I n t e r n e t 的 定 义 。	I n t e r n e t 的 定 义 如 下 ： 联 网 计 算 机 的 全 球 集 合 ， 最 初 是 由 美 国 国 防 部 在 2 0 世 纪 7 0 年 代 资 助 的 技 术 和 设 备 ， 目 前 连 接 了 全 世 界 数 千 万 台 计 算 机 。	定 义 如 下 ： 联 网 计 算 机 的 全 球 集 合 ， 最 初 是 由 美 国 国 防 部 在 2 0 世 纪 7 0 年 代 资 助 的 技 术 和 设 备 ， 目 前 连 接 了 全 世 界 数 千 万 台 计 算 机 。	10.0
简 述 I n t e r n e t 的 定 义 。	I n t e r n e t 的 定 义 如 下 ： 联 网 计 算 机 的 全 球 集 合 ， 最 初 是 由 美 国 国 防 部 在 2 0 世 纪 7 0 年 代 资 助 的 技 术 和 设 备 ， 目 前 连 接 了 全 世 界 数 千 万 台 计 算 机 。	联 网 计 算 机 的 全 世 界 集 合 ， 最 初 是 由 美 国 国 防 部 在 2 0 世 纪 6 0 年 代 资 助 的 技 术 和 设 备 ， 已 连 接 了 全 球 上 千 万 台 计 算 机 。	6.0
简 述 I n t e r n e t 信 息 服 务 的 定 义 。	I n t e r n e t 信 息 服 务 的 定 义 如 下 ： W i n d o w s   2 0 0 0   S e r v e r 的 一 个 可 管 理 的 W e b 应 用 程 序 基 础 结 构 。	定 义 如 下 ： W i n d o w s   2 0 0 0   S e r v e r 的 一 个 可 管 理 的 W e b 应 用 程 序 基 础 结 构 。	10.0
简 述 I n t e r n e t 信 息 服 务 的 定 义 。	I n t e r n e t 信 息 服 务 的 定 义 如 下 ： W i n d o w s   2 0 0 0   S e r v e r 的 一 个 可 管 理 的 W e b 应 用 程 序 基 础 结 构 。	W i n d o w s   S e r v e r   2 0 0 3 的 一 个 可 扩 展 的 W e b 应 用 程 序 基 础 结 构 。	0.0
简 述 互 联 网 络 的 定 义 。	互 联 网 络 的 定 义 如 下 ： 网 络 的 网 络 ， 由 多 个 物 理 网 络 组 成 的 。 它 可 以 只 驻 留 在 一 个 位 置 。 由 于 它 包 括 太 多 的 计 算 机 ， 所 以 互 联 网 络 不 适 合 在 一 个 L A N 的 范 围 内 。	定 义 如 下 ： 网 络 的 网 络 ， 由 多 个 物 理 网 络 组 成 的 。 它 可 以 只 驻 留 在 一 个 位 置 。 由 于 它 包 括 太 多 的 计 算 机 ， 所 以 互 联 网 络 不 适 合 在 一 个 L A N 的 范 围 内 。	10.0
简 述 互 联 网 络 的 定 义 。	互 联 网 络 的 定 义 如 下 ： 网 络 的 网 络 ， 由 多 个 物 理 网 络 组 成 的 。 它 可 以 只 驻 留 在 一 个 位 置 。 由 于 它 包 括 太 多 的 计 算 机 ， 所 以 互 联 网 络 不 适 合 在 一 个 L A N 的 范 围 内 。	网 络 的 网 络 ， 是 由 若 干 物 理 网 络 组 成 的 。 由 于 它 覆 盖 了 太 大 的 范 围 ， 所 以 互 联 网 络 不 适 合 在 一 个 W A N 的 范 围 内 。 它 可 以 只 驻 留 在 一 个 位 置 。	6.0
简 述 内 部 互 联 网 的 定 义 。	内 部 互 联 网 的 定 义 如 下 ： 一 个 内 部 的 基 于 T C P / I P 的 网 络 ， 在 公 司 内 部 使 用 。	定 义 如 下 ： 一 个 内 部 的 基 于 T C P / I P 的 网 络 ， 在 公 司 内 部 使 用 。	10.0
简 述 内 部 互 联 网 的 定 义 。	内 部 互 联 网 的 定 义 如 下 ： 一 个 内 部 的 基 于 T C P / I P 的 网 络 ， 在 公 司 内 部 使 用 。	一 个 内 部 的 具 有 相 关 协 议 的 网 络 ， 在 用 户 计 算 机 上 使 用 。	0.0
简 述 I P X / S P X 的 定 义 。	I P X / S P X 的 定 义 如 下 ： 互 联 网 路 分 组 交 换 / 顺 序 分 组 交 换 的 缩 写 ， 是 N o v e l l 开 发 的 一 组 协 议 。 通 常 与 N e t W a r e 有 关 ， 但 是 M i c r o s o f t 和 其 他 的 供 应 商 网 络 也 支 持 它 。	定 义 如 下 ： 互 联 网 路 分 组 交 换 / 顺 序 分 组 交 换 的 缩 写 ， 是 N o v e l l 开 发 的 一 组 协 议 。 通 常 与 N e t W a r e 有 关 ， 但 是 M i c r o s o f t 和 其 他 的 供 应 商 网 络 也 支 持 它 。	10.0
简 述 I P X / S P X 的 定 义 。	I P X / S P X 的 定 义 如 下 ： 互 联 网 路 分 组 交 换 / 顺 序 分 组 交 换 的 缩 写 ， 是 N o v e l l 开 发 的 一 组 协 议 。 通 常 与 N e t W a r e 有 关 ， 但 是 M i c r o s o f t 和 其 他 的 供 应 商 网 络 也 支 持 它 。	互 联 网 路 分 组 交 换 / 顺 序 分 组 交 换 的 缩 写 ， 是 N o v e l l 制 定 的 一 组 协 议 。 通 常 同 N e t W a r e 相 关 ， 但 是 M i c r o s o f t 和 其 他 的 供 应 商 网 络 也 使 用 它 。	10.0
简 述 局 域 网 的 定 义 。	局 域 网 的 定 义 如 下 ： 在 一 个 物 理 网 络 范 围 内 的 计 算 机 和 其 他 联 网 设 备 的 集 合 ， 并 且 为 互 联 网 络 和 W A N 提 供 了 构 件 。	定 义 如 下 ： 在 一 个 物 理 网 络 范 围 内 的 计 算 机 和 其 他 联 网 设 备 的 集 合 ， 并 且 为 互 联 网 络 和 W A N 提 供 了 构 件 。	10.0
简 述 局 域 网 的 定 义 。	局 域 网 的 定 义 如 下 ： 在 一 个 物 理 网 络 范 围 内 的 计 算 机 和 其 他 联 网 设 备 的 集 合 ， 并 且 为 互 联 网 络 和 W A N 提 供 了 构 件 。	在 多 个 物 理 网 络 范 围 内 的 计 算 机 和 其 他 联 网 设 备 的 集 合 ， 并 且 为 互 联 网 络 和 L A N 提 供 了 构 件 。	0.0
简 述 本 地 连 接 的 定 义 。	本 地 连 接 的 定 义 如 下 ： 描 述 了 直 接 连 接 到 一 台 计 算 机 的 设 备 而 不 是 只 在 网 络 上 可 以 使 用 的 设 备 ， 可 能 称 为 网 络 连 接 的 或 者 服 务 器 连 接 的 ， 取 决 于 它 是 有 内 置 的 网 络 接 口 还 是 必 须 直 接 连 接 到 服 务 器 。	定 义 如 下 ： 描 述 了 直 接 连 接 到 一 台 计 算 机 的 设 备 而 不 是 只 在 网 络 上 可 以 使 用 的 设 备 ， 可 能 称 为 网 络 连 接 的 或 者 服 务 器 连 接 的 ， 取 决 于 它 是 有 内 置 的 网 络 接 口 还 是 必 须 直 接 连 接 到 服 务 器 。	10.0
