问 句	标 准 答 案	学 生 答 案	得分
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 现 实 分 类 。	按 时 间 先 后 顺 序 ， 计 算 机 的 现 实 分 类 依 次 为 ： 服 务 器 、 工 作 站 、 台 式 机 、 便 携 机 。	计 算 机 的 现 实 分 类 依 次 为 ： 服 务 器 、 工 作 站 、 台 式 机 、 便 携 机 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 现 实 分 类 。	按 时 间 先 后 顺 序 ， 计 算 机 的 现 实 分 类 依 次 为 ： 服 务 器 、 工 作 站 、 台 式 机 、 便 携 机 。	分 别 是 ： 工 作 站 、 服 务 器 、 台 式 机 、 便 携 机 。	5.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 服 务 器 的 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 服 务 器 的 特 点 依 次 为 ： 强 大 的 处 理 能 力 、 超 大 容 量 的 存 储 器 、 快 速 的 输 入 输 出 通 道 、 联 网 能 力 。	服 务 器 的 特 点 依 次 为 ： 强 大 的 处 理 能 力 、 超 大 容 量 的 存 储 器 、 快 速 的 输 入 输 出 通 道 、 联 网 能 力 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 服 务 器 的 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 服 务 器 的 特 点 依 次 为 ： 强 大 的 处 理 能 力 、 超 大 容 量 的 存 储 器 、 快 速 的 输 入 输 出 通 道 、 联 网 能 力 。	分 别 是 ： 联 网 能 力 、 强 大 的 处 理 能 力 、 超 大 容 量 的 存 储 器 、 快 速 的 输 入 输 出 通 道 。	0.0
请 按 性 能 由 低 至 高 的 顺 序 依 次 写 出 服 务 器 的 类 型 。	按 性 能 由 低 至 高 的 顺 序 ， 服 务 器 的 类 型 依 次 为 ： U N I X 服 务 器 、 N T 服 务 器 、 小 型 机 、 大 型 机 、 巨 型 机 。	服 务 器 的 类 型 依 次 为 ： U N I X 服 务 器 、 N T 服 务 器 、 小 型 机 、 大 型 机 、 巨 型 机 。	10.0
请 按 性 能 由 低 至 高 的 顺 序 依 次 写 出 服 务 器 的 类 型 。	按 性 能 由 低 至 高 的 顺 序 ， 服 务 器 的 类 型 依 次 为 ： U N I X 服 务 器 、 N T 服 务 器 、 小 型 机 、 大 型 机 、 巨 型 机 。	分 别 是 ： N T 服 务 器 、 U N I X 服 务 器 、 小 型 机 、 大 型 机 、 巨 型 机 。	6.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 台 式 机 的 组 成 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 台 式 机 的 组 成 依 次 为 ： 主 机 、 显 示 器 、 键 盘 、 鼠 标 。	台 式 机 的 组 成 依 次 为 ： 主 机 、 显 示 器 、 键 盘 、 鼠 标 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 台 式 机 的 组 成 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 台 式 机 的 组 成 依 次 为 ： 主 机 、 显 示 器 、 键 盘 、 鼠 标 。	分 别 是 ： 主 机 、 键 盘 、 鼠 标 、 显 示 器 。	2.5
请 按 时 间 先 后 顺 序 依 次 写 出 手 持 设 备 的 类 型 。	按 时 间 先 后 顺 序 ， 手 持 设 备 的 类 型 依 次 为 ： P D A 、 商 务 通 、 快 译 通 、 第 二 代 半 、 第 三 代 手 机 。	手 持 设 备 的 类 型 依 次 为 ： P D A 、 商 务 通 、 快 译 通 、 第 二 代 半 、 第 三 代 手 机 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 手 持 设 备 的 类 型 。	按 时 间 先 后 顺 序 ， 手 持 设 备 的 类 型 依 次 为 ： P D A 、 商 务 通 、 快 译 通 、 第 二 代 半 、 第 三 代 手 机 。	分 别 是 ： P D A 、 快 译 通 、 商 务 通 、 第 二 代 半 、 第 三 代 手 机 。	6.0
请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 技 术 指 标 。	按 应 用 范 围 由 高 至 低 的 顺 序 ， 计 算 机 的 技 术 指 标 依 次 为 ： 位 数 、 速 度 、 容 量 、 带 宽 、 版 本 。	计 算 机 的 技 术 指 标 依 次 为 ： 位 数 、 速 度 、 容 量 、 带 宽 、 版 本 。	10.0
请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 技 术 指 标 。	按 应 用 范 围 由 高 至 低 的 顺 序 ， 计 算 机 的 技 术 指 标 依 次 为 ： 位 数 、 速 度 、 容 量 、 带 宽 、 版 本 。	分 别 是 ： 位 数 、 容 量 、 速 度 、 版 本 、 带 宽 。	2.0
请 按 从 小 到 大 的 顺 序 依 次 写 出 位 数 的 分 类 。	按 从 小 到 大 的 顺 序 ， 位 数 的 分 类 依 次 为 ： 8 位 、 1 6 位 、 3 2 位 、 6 4 位 。	位 数 的 分 类 依 次 为 ： 8 位 、 1 6 位 、 3 2 位 、 6 4 位 。	10.0
请 按 从 小 到 大 的 顺 序 依 次 写 出 位 数 的 分 类 。	按 从 小 到 大 的 顺 序 ， 位 数 的 分 类 依 次 为 ： 8 位 、 1 6 位 、 3 2 位 、 6 4 位 。	分 别 是 ： 1 6 位 、 3 2 位 、 6 4 位 、 1 2 8 位 。	0.0
请 按 容 量 从 小 到 大 的 顺 序 依 次 写 出 计 算 机 的 数 据 单 位 类 型 。	按 容 量 从 小 到 大 的 顺 序 ， 计 算 机 的 数 据 单 位 类 型 依 次 为 ： 位 、 字 节 、 字 。	计 算 机 的 数 据 单 位 类 型 依 次 为 ： 位 、 字 节 、 字 。	10.0
请 按 容 量 从 小 到 大 的 顺 序 依 次 写 出 计 算 机 的 数 据 单 位 类 型 。	按 容 量 从 小 到 大 的 顺 序 ， 计 算 机 的 数 据 单 位 类 型 依 次 为 ： 位 、 字 节 、 字 。	分 别 是 ： 位 、 字 、 字 节 。	3.0
请 按 从 快 到 慢 的 顺 序 依 次 写 出 C P U 处 理 速 度 的 单 位 。	按 从 快 到 慢 的 顺 序 ， C P U 处 理 速 度 的 单 位 依 次 为 ： T F L O P S 、 G F L O P S 、 M F L O P S 。	C P U 处 理 速 度 的 单 位 依 次 为 ： T F L O P S 、 G F L O P S 、 M F L O P S 。	10.0
请 按 从 快 到 慢 的 顺 序 依 次 写 出 C P U 处 理 速 度 的 单 位 。	按 从 快 到 慢 的 顺 序 ， C P U 处 理 速 度 的 单 位 依 次 为 ： T F L O P S 、 G F L O P S 、 M F L O P S 。	分 别 是 ： G F L O P S 、 M F L O P S 、 T F L O P S 。	0.0
请 按 从 小 到 大 的 顺 序 依 次 写 出 存 储 容 量 的 单 位 。	按 从 小 到 大 的 顺 序 ， 存 储 容 量 的 单 位 依 次 为 ： B 、 K B 、 M B 、 G B 、 T B 。	存 储 容 量 的 单 位 依 次 为 ： B 、 K B 、 M B 、 G B 、 T B 。	10.0
请 按 从 小 到 大 的 顺 序 依 次 写 出 存 储 容 量 的 单 位 。	按 从 小 到 大 的 顺 序 ， 存 储 容 量 的 单 位 依 次 为 ： B 、 K B 、 M B 、 G B 、 T B 。	分 别 是 ： B 、 G B 、 K B 、 M B 、 T B 。	2.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 磁 盘 存 储 器 的 特 殊 指 标 类 型 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 磁 盘 存 储 器 的 特 殊 指 标 类 型 依 次 为 ： 平 均 寻 道 时 间 、 平 均 等 待 时 间 、 数 据 传 输 速 率 。	磁 盘 存 储 器 的 特 殊 指 标 类 型 依 次 为 ： 平 均 寻 道 时 间 、 平 均 等 待 时 间 、 数 据 传 输 速 率 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 磁 盘 存 储 器 的 特 殊 指 标 类 型 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 磁 盘 存 储 器 的 特 殊 指 标 类 型 依 次 为 ： 平 均 寻 道 时 间 、 平 均 等 待 时 间 、 数 据 传 输 速 率 。	分 别 是 ： 平 均 等 待 时 间 、 平 均 寻 道 时 间 、 数 据 传 输 速 率 。	3.0
请 按 从 快 到 慢 的 顺 序 依 次 写 出 数 据 传 输 率 的 单 位 。	按 从 快 到 慢 的 顺 序 ， 数 据 传 输 率 的 单 位 依 次 为 ： G b p s 、 M b p s 、 K b p s 、 b p s 。	数 据 传 输 率 的 单 位 依 次 为 ： G b p s 、 M b p s 、 K b p s 、 b p s 。	10.0
请 按 从 快 到 慢 的 顺 序 依 次 写 出 数 据 传 输 率 的 单 位 。	按 从 快 到 慢 的 顺 序 ， 数 据 传 输 率 的 单 位 依 次 为 ： G b p s 、 M b p s 、 K b p s 、 b p s 。	分 别 是 ： b p s 、 M b p s 、 K b p s 、 G b p s 。	5.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 的 应 用 领 域 依 次 为 ： 科 学 计 算 、 事 务 处 理 、 过 程 控 制 、 辅 助 工 程 、 人 工 智 能 。	计 算 机 的 应 用 领 域 依 次 为 ： 科 学 计 算 、 事 务 处 理 、 过 程 控 制 、 辅 助 工 程 、 人 工 智 能 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 的 应 用 领 域 依 次 为 ： 科 学 计 算 、 事 务 处 理 、 过 程 控 制 、 辅 助 工 程 、 人 工 智 能 。	分 别 是 ： 辅 助 工 程 、 人 工 智 能 、 过 程 控 制 、 科 学 计 算 、 事 务 处 理 。	2.0
请 按 时 间 先 后 顺 序 依 次 写 出 辅 助 工 程 的 内 容 。	按 时 间 先 后 顺 序 ， 辅 助 工 程 的 内 容 依 次 为 ： 计 算 机 辅 助 设 计 、 计 算 机 辅 助 制 造 、 计 算 机 辅 助 测 试 、 计 算 机 辅 助 工 程 、 计 算 机 辅 助 教 学 。	辅 助 工 程 的 内 容 依 次 为 ： 计 算 机 辅 助 设 计 、 计 算 机 辅 助 制 造 、 计 算 机 辅 助 测 试 、 计 算 机 辅 助 工 程 、 计 算 机 辅 助 教 学 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 辅 助 工 程 的 内 容 。	按 时 间 先 后 顺 序 ， 辅 助 工 程 的 内 容 依 次 为 ： 计 算 机 辅 助 设 计 、 计 算 机 辅 助 制 造 、 计 算 机 辅 助 测 试 、 计 算 机 辅 助 工 程 、 计 算 机 辅 助 教 学 。	分 别 是 ： 计 算 机 辅 助 制 造 、 计 算 机 辅 助 设 计 、 计 算 机 辅 助 测 试 、 计 算 机 辅 助 教 学 、 计 算 机 辅 助 工 程 。	2.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 辅 助 设 计 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 辅 助 设 计 的 应 用 领 域 依 次 为 ： 电 路 、 机 械 、 土 木 建 筑 、 服 装 。	计 算 机 辅 助 设 计 的 应 用 领 域 依 次 为 ： 电 路 、 机 械 、 土 木 建 筑 、 服 装 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 辅 助 设 计 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 辅 助 设 计 的 应 用 领 域 依 次 为 ： 电 路 、 机 械 、 土 木 建 筑 、 服 装 。	分 别 是 ： 电 路 、 机 械 、 服 装 、 土 木 建 筑 。	5.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 网 络 的 应 用 领 域 依 次 为 ： 电 子 邮 件 、 W W W 服 务 、 资 料 检 索 、 I P 电 话 、 电 子 商 务 。	网 络 的 应 用 领 域 依 次 为 ： 电 子 邮 件 、 W W W 服 务 、 资 料 检 索 、 I P 电 话 、 电 子 商 务 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 网 络 的 应 用 领 域 依 次 为 ： 电 子 邮 件 、 W W W 服 务 、 资 料 检 索 、 I P 电 话 、 电 子 商 务 。	分 别 是 ： I P 电 话 、 W W W 服 务 、 资 料 检 索 、 电 子 邮 件 、 电 子 商 务 。	6.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 多 媒 体 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 多 媒 体 的 应 用 领 域 依 次 为 ： 文 化 教 育 、 技 术 培 训 、 电 子 图 书 、 观 光 旅 游 、 商 用 。	多 媒 体 的 应 用 领 域 依 次 为 ： 文 化 教 育 、 技 术 培 训 、 电 子 图 书 、 观 光 旅 游 、 商 用 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 多 媒 体 的 应 用 领 域 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 多 媒 体 的 应 用 领 域 依 次 为 ： 文 化 教 育 、 技 术 培 训 、 电 子 图 书 、 观 光 旅 游 、 商 用 。	分 别 是 ： 商 用 、 技 术 培 训 、 文 化 教 育 、 电 子 图 书 、 观 光 旅 游 。	2.0
请 按 由 低 到 高 的 顺 序 依 次 写 出 计 算 机 的 硬 件 组 成 。	按 由 低 到 高 的 顺 序 ， 计 算 机 的 硬 件 组 成 依 次 为 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	计 算 机 的 硬 件 组 成 依 次 为 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	10.0
请 按 由 低 到 高 的 顺 序 依 次 写 出 计 算 机 的 硬 件 组 成 。	按 由 低 到 高 的 顺 序 ， 计 算 机 的 硬 件 组 成 依 次 为 ： 芯 片 、 板 卡 、 设 备 、 网 络 。	分 别 是 ： 芯 片 、 设 备 、 板 卡 、 网 络 。	5.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 芯 片 的 类 型 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 芯 片 的 类 型 依 次 为 ： 微 处 理 器 芯 片 、 存 储 器 芯 片 、 I / O 芯 片 。	芯 片 的 类 型 依 次 为 ： 微 处 理 器 芯 片 、 存 储 器 芯 片 、 I / O 芯 片 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 芯 片 的 类 型 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 芯 片 的 类 型 依 次 为 ： 微 处 理 器 芯 片 、 存 储 器 芯 片 、 I / O 芯 片 。	分 别 是 ： I / O 芯 片 、 存 储 器 芯 片 、 微 处 理 器 芯 片 。	3.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 设 备 的 组 成 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 设 备 的 组 成 依 次 为 ： 板 卡 、 其 他 部 件 、 相 应 布 线 。	设 备 的 组 成 依 次 为 ： 板 卡 、 其 他 部 件 、 相 应 布 线 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 设 备 的 组 成 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 设 备 的 组 成 依 次 为 ： 板 卡 、 其 他 部 件 、 相 应 布 线 。	分 别 是 ： 板 卡 、 相 应 布 线 、 其 他 部 件 。	3.0
请 按 时 间 先 后 顺 序 依 次 写 出 微 处 理 器 芯 片 的 发 展 阶 段 。	按 时 间 先 后 顺 序 ， 微 处 理 器 芯 片 的 发 展 阶 段 依 次 为 ： 早 期 的 8 位 机 时 代 、 中 期 的 1 6 位 机 时 代 、 近 期 的 3 2 位 机 时 代 、 6 4 位 机 时 代 。	微 处 理 器 芯 片 的 发 展 阶 段 依 次 为 ： 早 期 的 8 位 机 时 代 、 中 期 的 1 6 位 机 时 代 、 近 期 的 3 2 位 机 时 代 、 6 4 位 机 时 代 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 微 处 理 器 芯 片 的 发 展 阶 段 。	按 时 间 先 后 顺 序 ， 微 处 理 器 芯 片 的 发 展 阶 段 依 次 为 ： 早 期 的 8 位 机 时 代 、 中 期 的 1 6 位 机 时 代 、 近 期 的 3 2 位 机 时 代 、 6 4 位 机 时 代 。	分 别 是 ： 早 期 的 1 6 位 机 时 代 、 中 期 的 3 2 位 机 时 代 、 近 期 的 6 4 位 机 时 代 、 1 2 8 位 机 时 代 。	0.0
请 按 时 间 先 后 顺 序 依 次 写 出 8 位 机 时 代 的 芯 片 类 型 。	按 时 间 先 后 顺 序 ， 8 位 机 时 代 的 芯 片 类 型 依 次 为 ： I n t e l   8 0 8 0 、 M o t o r o l a 的 6 8 0 0 、 Z i l o g 的 Z 8 0 。	8 位 机 时 代 的 芯 片 类 型 依 次 为 ： I n t e l   8 0 8 0 、 M o t o r o l a 的 6 8 0 0 、 Z i l o g 的 Z 8 0 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 8 位 机 时 代 的 芯 片 类 型 。	按 时 间 先 后 顺 序 ， 8 位 机 时 代 的 芯 片 类 型 依 次 为 ： I n t e l   8 0 8 0 、 M o t o r o l a 的 6 8 0 0 、 Z i l o g 的 Z 8 0 。	分 别 是 ： I n t e l   6 8 0 0 、 M o t o r o l a 的 8 0 8 0 、 Z i l o g 的 Z 8 0 。	3.0
请 按 时 间 先 后 顺 序 依 次 写 出 3 2 位 机 时 代 的 芯 片 类 型 。	按 时 间 先 后 顺 序 ， 3 2 位 机 时 代 的 芯 片 类 型 依 次 为 ： A M D 的 K 6 、 C y r i x 的 M I I 、 I D T 的 W i n C h i p 。	3 2 位 机 时 代 的 芯 片 类 型 依 次 为 ： A M D 的 K 6 、 C y r i x 的 M I I 、 I D T 的 W i n C h i p 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 3 2 位 机 时 代 的 芯 片 类 型 。	按 时 间 先 后 顺 序 ， 3 2 位 机 时 代 的 芯 片 类 型 依 次 为 ： A M D 的 K 6 、 C y r i x 的 M I I 、 I D T 的 W i n C h i p 。	分 别 是 ： I D T 的 W i n C h i p 、 C y r i x 的 M I I 、 A M D 的 K 6 。	3.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 奔 腾 芯 片 的 技 术 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 奔 腾 芯 片 的 技 术 特 点 依 次 为 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 测 、 双 C a c h e 的 哈 佛 结 构 、 固 定 常 用 指 令 。	奔 腾 芯 片 的 技 术 特 点 依 次 为 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 测 、 双 C a c h e 的 哈 佛 结 构 、 固 定 常 用 指 令 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 奔 腾 芯 片 的 技 术 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 奔 腾 芯 片 的 技 术 特 点 依 次 为 ： 超 标 量 技 术 、 超 流 水 线 技 术 、 分 支 预 测 、 双 C a c h e 的 哈 佛 结 构 、 固 定 常 用 指 令 。	分 别 是 ： 固 定 常 用 指 令 、 双 C a c h e 的 哈 佛 结 构 、 分 支 预 测 、 超 标 量 技 术 、 超 流 水 线 技 术 。	2.0
请 按 时 间 先 后 顺 序 依 次 写 出 整 数 流 水 线 的 4 级 流 水 。	按 时 间 先 后 顺 序 ， 整 数 流 水 线 的 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	整 数 流 水 线 的 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 整 数 流 水 线 的 4 级 流 水 。	按 时 间 先 后 顺 序 ， 整 数 流 水 线 的 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	分 别 是 ： 译 码 、 执 行 、 指 令 预 取 、 协 会 结 果 。	2.5
请 按 时 间 先 后 顺 序 依 次 写 出 浮 点 流 水 线 的 前 4 级 流 水 。	按 时 间 先 后 顺 序 ， 浮 点 流 水 线 的 前 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	浮 点 流 水 线 的 前 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 浮 点 流 水 线 的 前 4 级 流 水 。	按 时 间 先 后 顺 序 ， 浮 点 流 水 线 的 前 4 级 流 水 依 次 为 ： 指 令 预 取 、 译 码 、 执 行 、 协 会 结 果 。	分 别 是 ： 协 会 结 果 、 指 令 预 取 、 译 码 、 执 行 。	0.0
请 按 时 间 先 后 顺 序 依 次 写 出 浮 点 流 水 线 的 后 4 级 流 水 。	按 时 间 先 后 顺 序 ， 浮 点 流 水 线 的 后 4 级 流 水 依 次 为 ： 两 级 浮 点 操 作 、 一 级 四 舍 五 入 、 写 回 浮 点 运 算 结 果 、 一 级 出 错 报 告 。	浮 点 流 水 线 的 后 4 级 流 水 依 次 为 ： 两 级 浮 点 操 作 、 一 级 四 舍 五 入 、 写 回 浮 点 运 算 结 果 、 一 级 出 错 报 告 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 浮 点 流 水 线 的 后 4 级 流 水 。	按 时 间 先 后 顺 序 ， 浮 点 流 水 线 的 后 4 级 流 水 依 次 为 ： 两 级 浮 点 操 作 、 一 级 四 舍 五 入 、 写 回 浮 点 运 算 结 果 、 一 级 出 错 报 告 。	分 别 是 ： 一 级 出 错 报 告 、 一 级 四 舍 五 入 、 两 级 浮 点 操 作 、 写 回 浮 点 运 算 结 果 。	2.5
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 奔 腾 的 常 用 指 令 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 奔 腾 的 常 用 指 令 依 次 为 ： M O V 、 A D D 、 D E C 、 P U S H 、 P O P 。	奔 腾 的 常 用 指 令 依 次 为 ： M O V 、 A D D 、 D E C 、 P U S H 、 P O P 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 奔 腾 的 常 用 指 令 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 奔 腾 的 常 用 指 令 依 次 为 ： M O V 、 A D D 、 D E C 、 P U S H 、 P O P 。	分 别 是 ： M O V 、 P O P 、 A D D 、 D E C 、 P U S H 。	2.0
